"id";"nome";"tipo";"created_at";"updated_at"
175;"MAGRÃO TRICICLOS";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
176;"TARGOS";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
177;"JAC";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
178;"LIFAN";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
179;"EFFA-JMC";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
180;"VENTO";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
181;"HYUNDAI";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
182;"CHANGAN";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
183;"SHINERAY";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
184;"MAN";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
185;"RAM";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
186;"RELY";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
187;"TIGER";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
188;"JAC";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
189;"ASTON MARTIN";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
190;"FOTON";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
191;"FOTON";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
192;"Royal Enfield";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
193;"SHACMAN";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
194;"MAXIBUS";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
195;"Rolls-Royce";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
196;"MASCARELLO";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
197;"DAF";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
198;"RIGUETE";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
199;"GEELY";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
200;"MOTORINO";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
201;"MOTOCAR";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
202;"INDIAN";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
203;"HAOJUE";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
204;"KYMCO";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
205;"BEE";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
206;"BEPOBUS";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
207;"Baby";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
208;"IVECO";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
209;"FUSCO MOTOSEGURA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
210;"POLARIS";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
211;"Mclaren";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
212;"BULL";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
214;"HITECH ELECTRIC";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
215;"VOLTZ";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
216;"AVELLOZ";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
236;"CAB Motors";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
237;"SUPER SOCO";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
238;"BYD";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
239;"NIU";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
240;"GWM";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
241;"D2D Motors";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
242;"ZONTES";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
243;"WATTS";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
244;"Ventane Motors";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
245;"Caoa Chery";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
246;"DFSK";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
247;"SERES";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
248;"FEVER";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
